field,tile_number,filename,guide_filename,image_source
A3376,17,resources/20231108_20231119/A3376/Tiles/A3376_T017.fld,resources/20231108_20231119/A3376/Tiles/A3376_GT017.fld,DECALS
A3376,18,resources/20231108_20231119/A3376/Tiles/A3376_T018.fld,resources/20231108_20231119/A3376/Tiles/A3376_GT018.fld,DECALS
A3376,19,resources/20231108_20231119/A3376/Tiles/A3376_T019.fld,resources/20231108_20231119/A3376/Tiles/A3376_GT019.fld,DECALS
A3376,20,resources/20231108_20231119/A3376/Tiles/A3376_T020.fld,resources/20231108_20231119/A3376/Tiles/A3376_GT020.fld,DECALS
A3376,21,resources/20231108_20231119/A3376/Tiles/A3376_T021.fld,resources/20231108_20231119/A3376/Tiles/A3376_GT021.fld,DECALS
A3376,22,resources/20231108_20231119/A3376/Tiles/A3376_T022.fld,resources/20231108_20231119/A3376/Tiles/A3376_GT022.fld,DECALS
A3376,23,resources/20231108_20231119/A3376/Tiles/A3376_T023.fld,resources/20231108_20231119/A3376/Tiles/A3376_GT023.fld,DECALS
A3376,24,resources/20231108_20231119/A3376/Tiles/A3376_T024.fld,resources/20231108_20231119/A3376/Tiles/A3376_GT024.fld,DECALS
A3376,27,resources/20231108_20231119/A3376/Tiles/A3376_T027.fld,resources/20231108_20231119/A3376/Tiles/A3376_GT027.fld,DECALS
A3376,32,resources/20231108_20231119/A3376/Tiles/A3376_T032.fld.SNAFU,resources/20231108_20231119/A3376/Tiles/A3376_GT032.fld.SNAFU,DECALS
H01,203,resources/20231108_20231119/H01/Tiles/H01_T203.fld,resources/20231108_20231119/H01/Tiles/H01_GT203.fld,DECALS
H01,199,resources/20231108_20231119/H01/Tiles/H01_T199.fld,resources/20231108_20231119/H01/Tiles/H01_GT199.fld,DECALS
H01,191,resources/20231108_20231119/H01/Tiles/H01_T191.fld,resources/20231108_20231119/H01/Tiles/H01_GT191.fld,DECALS
H01,185,resources/20231108_20231119/H01/Tiles/H01_T185.fld,resources/20231108_20231119/H01/Tiles/H01_GT185.fld,DECALS
H01,209,resources/20231108_20231119/H01/Tiles/H01_T209.fld.SNAFU,resources/20231108_20231119/H01/Tiles/H01_GT209.fld.SNAFU,DECALS
H01,170,resources/20231108_20231119/H01/Tiles/H01_T170.fld,resources/20231108_20231119/H01/Tiles/H01_GT170.fld,DECALS
H01,174,resources/20231108_20231119/H01/Tiles/H01_T174.fld,resources/20231108_20231119/H01/Tiles/H01_GT174.fld,DECALS
H01,125,resources/20231108_20231119/H01/Tiles/H01_T125.fld,resources/20231108_20231119/H01/Tiles/H01_GT125.fld,DECALS
H01,135,resources/20231108_20231119/H01/Tiles/H01_T135.fld,resources/20231108_20231119/H01/Tiles/H01_GT135.fld,DECALS
H01,145,resources/20231108_20231119/H01/Tiles/H01_T145.fld,resources/20231108_20231119/H01/Tiles/H01_GT145.fld,DECALS
H01,122,resources/20231108_20231119/H01/Tiles/H01_T122.fld,resources/20231108_20231119/H01/Tiles/H01_GT122.fld,DECALS
H01,127,resources/20231108_20231119/H01/Tiles/H01_T127.fld,resources/20231108_20231119/H01/Tiles/H01_GT127.fld,DECALS
H01,123,resources/20231108_20231119/H01/Tiles/H01_T123.fld,resources/20231108_20231119/H01/Tiles/H01_GT123.fld,DECALS
H01,128,resources/20231108_20231119/H01/Tiles/H01_T128.fld,resources/20231108_20231119/H01/Tiles/H01_GT128.fld,DECALS
H01,120,resources/20231108_20231119/H01/Tiles/H01_T120.fld,resources/20231108_20231119/H01/Tiles/H01_GT120.fld,DECALS
H01,130,resources/20231108_20231119/H01/Tiles/H01_T130.fld,resources/20231108_20231119/H01/Tiles/H01_GT130.fld,DECALS
H01,131,resources/20231108_20231119/H01/Tiles/H01_T131.fld,resources/20231108_20231119/H01/Tiles/H01_GT131.fld,DECALS
