field,tile_number,filename,guide_filename,image_source
G23,131,resources/20231003_20231009/G23/Tiles/G23_T131.fld,resources/20231003_20231009/G23/Tiles/G23_GT131.fld,KIDS
G23,125,resources/20231003_20231009/G23/Tiles/G23_T125.fld,resources/20231003_20231009/G23/Tiles/G23_GT125.fld,KIDS
G23,191,resources/20231003_20231009/G23/Tiles/G23_T191.fld,resources/20231003_20231009/G23/Tiles/G23_GT191.fld,KIDS
G23,194,resources/20231003_20231009/G23/Tiles/G23_T194.fld,resources/20231003_20231009/G23/Tiles/G23_GT194.fld,KIDS
G23,146,resources/20231003_20231009/G23/Tiles/G23_T146.fld,resources/20231003_20231009/G23/Tiles/G23_GT146.fld,KIDS
G23,134,resources/20231003_20231009/G23/Tiles/G23_T134.fld,resources/20231003_20231009/G23/Tiles/G23_GT134.fld,KIDS
G23,197,resources/20231003_20231009/G23/Tiles/G23_T197.fld.SNAFU,resources/20231003_20231009/G23/Tiles/G23_GT197.fld.SNAFU,KIDS
H03,152,resources/20231003_20231009/H03/Tiles/H03_T152.fld.SNAFU,resources/20231003_20231009/H03/Tiles/H03_GT152.fld.SNAFU,DECALS
H03,93,resources/20231003_20231009/H03/Tiles/H03_T093.fld,resources/20231003_20231009/H03/Tiles/H03_GT093.fld,DECALS
H03,95,resources/20231003_20231009/H03/Tiles/H03_T095.fld,resources/20231003_20231009/H03/Tiles/H03_GT095.fld,DECALS
H03,97,resources/20231003_20231009/H03/Tiles/H03_T097.fld,resources/20231003_20231009/H03/Tiles/H03_GT097.fld,DECALS
H03,105,resources/20231003_20231009/H03/Tiles/H03_T105.fld,resources/20231003_20231009/H03/Tiles/H03_GT105.fld,DECALS
H03,100,resources/20231003_20231009/H03/Tiles/H03_T100.fld,resources/20231003_20231009/H03/Tiles/H03_GT100.fld,DECALS
H03,82,resources/20231003_20231009/H03/Tiles/H03_T082.fld,resources/20231003_20231009/H03/Tiles/H03_GT082.fld,DECALS
