field,tile_number,filename,guide_filename,image_source
G15,0,resources/20230613_20230626/G15/Tiles/G15_T000.fld,resources/20230613_20230626/G15/Tiles/G15_GT000.fld,DECALS
G15,1,resources/20230613_20230626/G15/Tiles/G15_T001.fld,resources/20230613_20230626/G15/Tiles/G15_GT001.fld,DECALS
G15,65,resources/20230613_20230626/G15/Tiles/G15_T065.fld.snafu,resources/20230613_20230626/G15/Tiles/G15_GT065.fld.snafu,DECALS
G15,91,resources/20230613_20230626/G15/Tiles/G15_T091.fld,resources/20230613_20230626/G15/Tiles/G15_GT091.fld,DECALS
G15,90,resources/20230613_20230626/G15/Tiles/G15_T090.fld,resources/20230613_20230626/G15/Tiles/G15_GT090.fld,DECALS
G15,62,resources/20230613_20230626/G15/Tiles/G15_T062.fld,resources/20230613_20230626/G15/Tiles/G15_GT062.fld,DECALS
G15,132,resources/20230613_20230626/G15/Tiles/G15_T132.fld,resources/20230613_20230626/G15/Tiles/G15_GT132.fld,DECALS
G15,46,resources/20230613_20230626/G15/Tiles/G15_T046.fld,resources/20230613_20230626/G15/Tiles/G15_GT046.fld,DECALS
G15,98,resources/20230613_20230626/G15/Tiles/G15_T098.fld,resources/20230613_20230626/G15/Tiles/G15_GT098.fld,DECALS
G15,47,resources/20230613_20230626/G15/Tiles/G15_T047.fld,resources/20230613_20230626/G15/Tiles/G15_GT047.fld,DECALS
G15,118,resources/20230613_20230626/G15/Tiles/G15_T118.fld,resources/20230613_20230626/G15/Tiles/G15_GT118.fld,DECALS
G15,13,resources/20230613_20230626/G15/Tiles/G15_T013.fld,resources/20230613_20230626/G15/Tiles/G15_GT013.fld,DECALS
A3667,0,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_T000.fld,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_GT000.fld,DECALS
A3667,1,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_T001.fld,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_GT001.fld,DECALS
A3667,2,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_T002.fld,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_GT002.fld,DECALS
A3667,4,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_T004.fld,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_GT004.fld,DECALS
A3667,5,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_T005.fld,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_GT005.fld,DECALS
A3667,6,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_T006.fld,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_GT006.fld,DECALS
A3667,7,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_T007.fld,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_GT007.fld,DECALS
A3667,8,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_T008.fld,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_GT008.fld,DECALS
A3667,9,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_T009.fld,resources/20230613_20230626/Clusters/A3667/Tiles/A3667_GT009.fld,DECALS
A3716,0,resources/20230613_20230626/Clusters/A3716/Tiles/A3716_T000.fld,resources/20230613_20230626/Clusters/A3716/Tiles/A3716_GT000.fld,DECALS
A3716,1,resources/20230613_20230626/Clusters/A3716/Tiles/A3716_T001.fld,resources/20230613_20230626/Clusters/A3716/Tiles/A3716_GT001.fld,DECALS
A3716,2,resources/20230613_20230626/Clusters/A3716/Tiles/A3716_T002.fld,resources/20230613_20230626/Clusters/A3716/Tiles/A3716_GT002.fld,DECALS
StarFields,1,resources/20230613_20230626/StarFields/Tiles/StarFields_310_m22_T001.fld,resources/20230613_20230626/StarFields/Tiles/StarFields_310_m22_GT001.fld,DECALS
StarFields,2,resources/20230613_20230626/StarFields/Tiles/StarFields_310_m22_T002.fld,resources/20230613_20230626/StarFields/Tiles/StarFields_310_m22_GT002.fld,DECALS
StarFields,3,resources/20230613_20230626/StarFields/Tiles/StarFields_310_m22_T003.fld,resources/20230613_20230626/StarFields/Tiles/StarFields_310_m22_GT003.fld,DECALS
Commissioning_SAMI_low_mass,1,resources/20230613_20230626/Commissioning/Tiles/Commissioning_SAMI_low_mass_T001.fld,resources/20230613_20230626/Commissioning/Tiles/Commissioning_SAMI_low_mass_GT001.fld,DECALS
Commissioning_SAMI_MANGA_overlap,1,resources/20230613_20230626/Commissioning/Tiles/Commissioning_SAMI_MANGA_overlap_T001.fld,resources/20230613_20230626/Commissioning/Tiles/Commissioning_SAMI_MANGA_overlap_GT001.fld,DECALS
